Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2014-05-09 00:00:00-04:00,56.39704105356753,56.77029774212405,56.094882168595056,56.73474884033203,5060800,0.0,0.0,0.0
2014-05-12 00:00:00-04:00,56.965831927511964,57.472392108277006,56.903623020409675,57.44573211669922,5711600,0.0,0.0,0.0
2014-05-13 00:00:00-04:00,57.53459457271277,57.70345020748029,57.170230094846914,57.28575897216797,4959900,0.0,0.0,0.0
2014-05-14 00:00:00-04:00,57.179102095453125,57.259088827304446,56.53923875181433,56.6458854675293,4285500,0.0,0.0,0.0
2014-05-15 00:00:00-04:00,56.43259520828681,56.539238533459724,55.6594251680554,56.23707962036133,5706200,0.0,0.0,0.0
2014-05-16 00:00:00-04:00,56.23707495778252,56.69031498491737,56.041562776197,56.65476608276367,3011400,0.0,0.0,0.0
2014-05-19 00:00:00-04:00,56.49481865099816,56.948058832471816,56.33485192696406,56.91250991821289,2738600,0.0,0.0,0.0
2014-05-20 00:00:00-04:00,56.610350488054756,56.841411648682936,56.22820813806386,56.39706039428711,4849000,0.0,0.0,0.0
2014-05-21 00:00:00-04:00,56.55701812601644,57.125787098802974,56.55701812601644,57.081356048583984,3889000,0.0,0.0,0.0
2014-05-22 00:00:00-04:00,57.07248129857378,57.48128367551087,56.97472347145157,57.38352584838867,5257500,0.0,0.0,0.0
2014-05-23 00:00:00-04:00,57.44572261935579,57.86341383238501,57.34796481289103,57.836753845214844,1985100,0.0,0.0,0.0
2014-05-27 00:00:00-04:00,58.05892842612397,58.210006204276986,57.98783060807745,58.13890838623047,3402600,0.0,0.0,0.0
2014-05-28 00:00:00-04:00,58.165567183833474,58.227776078287135,57.79231381711148,58.076698303222656,10106200,0.0,0.0,0.0
2014-05-29 00:00:00-04:00,58.254426255098025,58.32551727118489,58.03225072671132,58.31663513183594,2948000,0.0,0.0,0.0
2014-05-30 00:00:00-04:00,58.227749956727344,58.387716582168544,58.1211100599385,58.36994552612305,3052000,0.0,0.0,0.0
2014-06-02 00:00:00-04:00,58.476618027968826,58.609917957823605,58.21889352981471,58.565486907958984,3048700,0.0,0.0,0.0
2014-06-03 00:00:00-04:00,58.3521994740198,58.56548613924885,58.31665056643815,58.458839416503906,2243300,0.0,0.0,0.0
2014-06-04 00:00:00-04:00,58.28112177360904,58.805453085815614,58.20113500887903,58.74324417114258,2161100,0.0,0.0,0.0
2014-06-05 00:00:00-04:00,58.832077625319045,59.205337668674225,58.556582137832756,59.12535095214844,2703400,0.0,0.0,0.0
2014-06-06 00:00:00-04:00,59.23199631793788,59.48083182108336,59.18755850083664,59.47194290161133,3203900,0.0,0.0,0.0
2014-06-09 00:00:00-04:00,59.51640608326906,59.774130615722996,59.409759344931,59.48974609375,2568700,0.0,0.0,0.0
2014-06-10 00:00:00-04:00,59.356446918540556,59.48086473896858,59.2853490839352,59.37421798706055,5461600,0.0,0.0,0.0
2014-06-11 00:00:00-04:00,59.205353460616735,59.32977124816826,58.983177871380306,59.19646453857422,3027900,0.0,0.0,0.0
2014-06-12 00:00:00-04:00,59.19645463350364,59.19645463350364,58.30775242526039,58.44105911254883,4549600,0.0,0.0,0.0
2014-06-13 00:00:00-04:00,58.45884255339248,58.60992033352565,58.121138083636936,58.46773147583008,4962800,0.0,0.0,0.0
2014-06-16 00:00:00-04:00,58.26332483397545,58.66324496606806,58.26332483397545,58.601036071777344,3553000,0.0,0.0,0.0
